name,lat,lon,population,state,district
Nihtaur,29.32416,78.38724,48389,Uttar Pradesh,Bijnor
Needamangalam,10.77378,79.41875,9336,Tamil Nadu,Thiruvarur
Nidadavole,16.90572,81.67222,44173,Andhra Pradesh,East Godavari
Nichlaul,27.31247,83.7253,17567,Uttar Pradesh,Maharajganj
Ngur,23.53798,93.3732,32734,Mizoram,Champhai
Neyyur,8.19829,77.30379,12917,Tamil Nadu,Kanniyakumari
Neyyattinkara,8.39854,77.08586,88104,Kerala,Thiruvananthapuram
Neyveli,11.60877,79.4994,179150,Tamil Nadu,Cuddalore
Neykuppai,10.2214,78.53602,7165,Tamil Nadu,Sivaganga
New Delhi,28.62137,77.2148,317797,Delhi,New Delhi
Nerul,15.51031,73.78087,5042,Goa,North Goa
Nerinjippettai,11.65433,77.75862,6791,Tamil Nadu,Erode
Neral,19.02475,73.31688,18429,Maharashtra,Raigarh
Ner,20.48971,77.86632,29302,Maharashtra,Yavatmal
Nepanagar,21.4538,76.39335,32611,Madhya Pradesh,Burhanpur
Nellore,14.44992,79.98697,547621,Andhra Pradesh,Nellore
Nellimarla,18.15619,83.44727,20498,Andhra Pradesh,Vizianagaram District
Nellikkuppam,11.77554,79.67016,46678,Tamil Nadu,Cuddalore
Nelamangala,13.09978,77.39364,37232,Karnataka,Bangalore Rural
Nedumangad,8.60267,77.00139,60161,Kerala,Thiruvananthapuram
Nazira,26.91649,94.73611,14302,Assam,Sibsagar
Nazareth,8.56102,77.97214,16584,Tamil Nadu,Thoothukkudi
Nayudupet,13.90742,79.89465,45769,Andhra Pradesh,Tirupati
Nayagarh,20.12882,85.09626,17030,Odisha,Nayagarh District
Nawanshahr,31.1245,76.11613,46024,Punjab,Shahid Bhagat Singh Nagar
Nawapara,20.97173,81.85884,29315,Chhattisgarh,Raipur
Nawanshahr,32.76505,74.52772,14884,Jammu and Kashmir,Jammu
Nawalgarh,27.85161,75.27384,63948,Rajasthan,Jhunjhunu District
Niwai,26.36073,75.91836,37765,Rajasthan,Tonk
Nawada,24.8867,85.54364,98029,Bihar,Nawada
Nawabganj,26.49716,80.30934,10758,Uttar Pradesh,Kanpur
Nawabganj,28.54103,79.63462,34134,Uttar Pradesh,Bareilly
Nawabganj,26.93129,81.19841,79246,Uttar Pradesh,Bara Banki
Nawabganj,26.86396,82.14103,17015,Uttar Pradesh,Gonda
Nawa,27.0195,75.00226,22088,Rajasthan,Nagaur District
Navsari,20.94237,72.92467,171109,Gujarat,Navsari
Navelim,15.53333,73.98333,12469,Goa,North Goa
Navelim,15.25885,73.96637,12323,Goa,South Goa
Navapur,21.16157,73.79399,34207,Maharashtra,Nandurbar
Navalgund,15.55877,75.35305,24613,Karnataka,Dharwad
Navadwip,23.4067,88.36861,111123,West Bengal,Nadia
Nautanwa,27.42752,83.41789,32587,Uttar Pradesh,Maharajganj
Naushahra,33.15712,74.24012,10408,Jammu and Kashmir,Rajauri
Naugachhia,25.38807,87.09906,49069,Bihar,Bhagalpur
Naubatpur,25.49856,84.96084,25011,Bihar,Patna
Nattarasankottai,9.86905,78.55305,5920,Tamil Nadu,Sivaganga
Natham,10.22776,78.22969,23660,Tamil Nadu,Dindigul
Nathdwara,24.93805,73.82392,42016,Rajasthan,Rajsamand
Nateputa,17.89895,74.75222,17930,Maharashtra,Solapur
Nasrullahganj,22.6837,77.27069,23788,Madhya Pradesh,Sehore
Nasriganj,25.0514,84.32839,23819,Bihar,Rohtas
Naspur,18.84577,79.46165,31244,Telangana,Mancherial
Nasirabad,26.30473,74.73364,51747,Rajasthan,Ajmer
Nashik,19.99727,73.79096,1486053,Maharashtra,Nashik Division
Narwar,25.6439,77.9129,19385,Madhya Pradesh,Shivpuri
Narwana,29.59903,76.11927,62090,Haryana,Jind
Narsipatnam,17.66709,82.61245,33757,Andhra Pradesh,Anakapalli
Narsingi,18.04468,78.42516,6445,Telangana,Medak
Narsinghgarh,23.70758,77.09319,32329,Madhya Pradesh,Rajgarh
Narsimhapur,22.94936,79.18357,59966,Madhya Pradesh,Narsimhapur
Narsampet,17.92786,79.89227,30963,Telangana,Warangal Rural
Narot Mehra,32.26726,75.56469,8885,Punjab,Pathankot
Naroli,20.27354,72.94167,16260,Dadra and Nagar Haveli and Daman and Diu,Dadra & Nagar Haveli
Naroda,23.07041,72.65702,5366,Gujarat,Ahmadabad
Narnaund,29.22047,76.14278,17242,Haryana,Hisar
Narnaul,28.04444,76.10833,74581,Haryana,Mahendragarh
Narkher,21.47231,78.53415,21127,Maharashtra,Nagpur Division
Narkatiaganj,27.10383,84.46185,49507,Bihar,Pashchim Champaran
Nari,21.77263,72.07279,9467,Gujarat,Bhavnagar
Narharpur,20.44892,81.62004,6500,Chhattisgarh,Uttar Bastar Kanker
Nargund,15.72299,75.38666,36291,Karnataka,Gadag
Narela,28.85267,77.09288,800000,Delhi,North Delhi
Naregal,15.57316,75.80805,17403,Karnataka,Gadag
Narayanpet,16.74799,77.4954,41752,Telangana,Narayanpet
Narayankher,18.03413,77.77284,15610,Telangana,Sangareddy
Naraingarh,30.47798,77.12804,22832,Haryana,Ambala
Narayangarh,24.27083,75.05007,10233,Madhya Pradesh,Mandsaur
Narayanavanam,13.42565,79.58881,11432,Andhra Pradesh,Tirupati
Naravarikuppam,13.19133,80.18473,20946,Tamil Nadu,Chennai
Naraura,28.20147,78.38723,22432,Uttar Pradesh,Bulandshahr
Narauli,28.48547,78.71484,17945,Uttar Pradesh,Sambhal
Narasingapuram,13.60759,79.31652,10875,Andhra Pradesh,Tirupati
Narasimharajapura,13.61075,75.512,7775,Karnataka,Chikmagalur
Narasaraopet,16.23488,80.04927,117489,Andhra Pradesh,Palnadu
Narasapur,16.43425,81.69845,59306,Andhra Pradesh,West Godavari
Narasannapeta,18.41428,84.04463,26280,Andhra Pradesh,Srikakulam
Narakal,10.03833,76.2221,23760,Kerala,Ernakulam
Narainpur,19.71794,81.24437,22106,Chhattisgarh,Narayanpur
Naraini,25.19033,80.475,15077,Madhya Pradesh,
Naraina,26.79069,75.20608,17048,Rajasthan,Jaipur
Napasar,27.96059,73.55913,21750,Rajasthan,Bikaner District
Nanpur,22.27023,74.52712,5632,Madhya Pradesh,Alirajpur
Nanpara,27.86459,81.50036,46280,Uttar Pradesh,Bahraich
Nannilam,10.87933,79.61062,12618,Tamil Nadu,Thiruvarur
Nanjangud,12.11764,76.68397,50598,Karnataka,Mysore
Nanguneri,8.49326,77.65806,6969,Tamil Nadu,Tirunelveli Kattabo
Nangloi Jat,28.67957,77.06799,205596,Delhi,West Delhi
Nangavalli,11.76189,77.89093,10809,Tamil Nadu,Salem
Nangal,31.38966,76.37574,48497,Punjab,Rupnagar
Nandyal,15.47799,78.4836,211424,Andhra Pradesh,Nandyal
Nandurbar,21.36671,74.24051,111037,Maharashtra,Nandurbar
Nandura,20.83417,76.45924,44419,Maharashtra,Buldhana
Nandikotkur,15.85668,78.26569,45343,Andhra Pradesh,Nandyal
Nandigama,16.7717,80.28596,38219,Andhra Pradesh,NTR
Nandgaon,27.71102,77.38653,10449,Uttar Pradesh,Mathura
Nandgaon,20.3068,74.65501,24209,Maharashtra,Nashik Division
Nandgad,15.57746,74.56899,8837,Karnataka,Belgaum
Nanded,19.16023,77.31497,550564,Maharashtra,Nanded
Nanauta,29.71215,77.41728,18738,Uttar Pradesh,District Saharanpur
Namrup,27.19395,95.31929,18432,Assam,Dibrugarh
Namli,23.46115,75.06036,9774,Madhya Pradesh,Ratlam
Namchi,27.16494,88.3638,12190,Sikkim,Namchi
Nambutalai,9.72766,79.00707,7914,Tamil Nadu,Ramanathapuram
Nambiyur,11.35811,77.32115,16379,Tamil Nadu,Erode
Namakkal,11.22126,78.16524,55997,Tamil Nadu,Namakkal
Namagiripettai,11.45513,78.26818,22098,Tamil Nadu,Namakkal
Nal Khera,23.83602,76.24316,16690,Madhya Pradesh,Agar Malwa
Naliya,23.26058,68.82655,10587,Gujarat,Kutch
Nalhati,24.29704,87.82899,25878,West Bengal,Birbhum
Nalgonda,17.05439,79.26707,154326,Telangana,Nalgonda District
Naldurg,17.81667,76.28182,18341,Maharashtra,Osmanabad
Nalbari,26.43937,91.44041,27839,Assam,Nalbari
Nalagarh,31.04168,76.72285,10708,Himachal Pradesh,Solan
Nakur,29.91964,77.30438,23084,Uttar Pradesh,District Saharanpur
Naksalbari,26.6827,88.22001,57283,West Bengal,Darjeeling
Nakrekal,17.16259,79.42754,29126,Telangana,Nalgonda District
Nakodar,31.12586,75.47508,36973,Punjab,Jalandhar
Najibabad,29.61194,78.34274,84006,Uttar Pradesh,Bijnor
Najafgarh,28.60922,76.97982,1365000,Delhi,South West Delhi
Nainwa,25.77145,75.84978,19485,Rajasthan,Bundi District
Nainpur,22.42996,80.10561,24914,Madhya Pradesh,Mandla
Naini Tal,29.39743,79.44686,42309,Uttarakhand,Nainital
Naihati,22.89396,88.41521,253221,West Bengal,North 24 Parganas
Naigarhi,24.78686,81.77868,10404,Madhya Pradesh,Rewa
Nahorkatiya,27.286,95.328,18937,Assam,Dibrugarh
Nahan,30.56029,77.29426,28899,Himachal Pradesh,Sirmaur
Nagrota,32.80106,74.91324,13836,Jammu and Kashmir,Jammu
Nagrota,32.0571,76.09139,6125,Himachal Pradesh,Kangra
Nagri,20.34646,81.95998,13308,Chhattisgarh,Dhamtari
Nagram,26.61872,81.14043,9858,Uttar Pradesh,Lucknow District
Nagpur,21.14631,79.08491,2405665,Maharashtra,Nagpur Division
Nagothana,18.54225,73.13493,12549,Maharashtra,Raigarh
Nagod,24.56924,80.58809,22568,Madhya Pradesh,Satna
Nagireddipalli,14.27005,79.10131,12318,Andhra Pradesh,Annamayya
Naginimora,26.81492,94.81084,8116,Nagaland,Mon
Nagina,29.44433,78.43646,76593,Uttar Pradesh,Bijnor
Nagina,27.91717,76.98207,11417,Haryana,Nuh
Nagercoil,8.17899,77.43227,224849,Tamil Nadu,Kanniyakumari
Nagda,23.45834,75.41759,103501,Madhya Pradesh,Ujjain
Nagaur,27.20201,73.73394,105218,Rajasthan,Nagaur District
Nagar Karnul,16.4821,78.32471,29439,Telangana,Nagarkurnool
Nagari,13.32139,79.58557,62253,Andhra Pradesh,Chittoor
Nagar,27.42397,77.09922,25572,Rajasthan,Bharatpur
Nagapattinam,10.76377,79.84313,102905,Tamil Nadu,Nagapattinam
Nagamangala,12.81939,76.75456,17776,Karnataka,Mandya
Nagalapuram,13.38836,79.79623,34026,Andhra Pradesh,Tirupati
Naduvattam,11.48075,76.54365,11674,Tamil Nadu,Nilgiris
Naduvannur,11.48772,75.77511,25979,Kerala,Kozhikode
Nadigaon,26.10784,79.02283,7597,Uttar Pradesh,District Jalaun
Nadiad,22.69385,72.86157,225071,Gujarat,Kheda
Nadbai,27.22288,77.19569,26411,Rajasthan,Bharatpur
Nadapuram,11.68465,75.65493,40230,Kerala,Kozhikode
Nabinagar,24.60681,84.12624,23984,Bihar,Aurangabad
Nabha,30.37577,76.15292,67972,Punjab,Patiala
Mysuru,12.29791,76.63925,920550,Karnataka,Mysore
Muzaffarpur,26.12259,85.39055,354462,Bihar,Muzaffarpur
Muzaffarnagar,29.47091,77.70332,349706,Uttar Pradesh,Muzaffarnagar
Muvattupula,9.98493,76.57728,29664,Kerala,Ernakulam
Muttur,11.04637,77.7363,13212,Tamil Nadu,Tiruppur
Muthupet,10.39505,79.49353,21722,Tamil Nadu,Thiruvarur
Mustafabad,30.2022,77.14873,9042,Haryana,Yamunanagar
Mussoorie,30.45498,78.07068,25753,Uttarakhand,Dehradun
Musiri,10.95299,78.44427,30209,Tamil Nadu,Tiruchirappalli
Mushabani,22.51135,86.45713,32761,Jharkhand,Purba Singhbhum
Musafir-Khana,26.37837,81.79607,8081,Uttar Pradesh,Amethi
Murwara,23.83776,80.39405,221883,Madhya Pradesh,Katni
Murud,18.32817,72.9621,12665,Maharashtra,Raigarh
Murtajapur,20.73299,77.36694,40295,Maharashtra,Akola
Murshidabad,24.1839,88.27171,39557,West Bengal,Murshidabad
Mursan,27.57788,77.94091,12310,Uttar Pradesh,Hathras
Murliganj,25.8969,86.99577,28691,Bihar,Madhepura
Morinda,30.79014,76.49883,24022,Punjab,Rupnagar
Muri,23.37074,85.86236,12744,West Bengal,
Murgud,16.39604,74.19142,11194,Maharashtra,Kolhapur
Murbad,19.25395,73.38993,18725,Maharashtra,Thane
Muragacha,23.53631,88.39425,10324,West Bengal,Nadia
Muradnagar,28.78069,77.49865,89482,Uttar Pradesh,Ghaziabad
Munnar,10.08818,77.06239,68000,Kerala,Idukki
Munirabad,15.30928,76.3383,8672,Karnataka,Koppal
Munger,25.37459,86.47455,213303,Bihar,Munger
Mungeli,22.06566,81.68543,36450,Chhattisgarh,Mungeli
Mungaoli,24.40837,78.09588,26192,Madhya Pradesh,Ashoknagar
Mundwa,27.0631,73.82304,17465,Rajasthan,Nagaur District
Mundra,22.83918,69.7219,20338,Gujarat,Kutch
Mundi,22.06693,76.49326,12889,Madhya Pradesh,Khandwa district
Mundgod,14.97144,75.03658,18866,Karnataka,Uttar Kannada
Mundargi,15.20677,75.8839,24919,Karnataka,Gadag
Multai,21.77463,78.25756,29976,Madhya Pradesh,Betul
Mulki,13.09101,74.79353,17274,Karnataka,Dakshina Kannada
Mulgund,15.2807,75.52132,18928,Karnataka,Gadag
Mulbagal,13.16352,78.39346,57276,Karnataka,Kolar
Muluppilagadu,11.79788,75.45111,23709,Kerala,Kannur
Mulanur,10.79426,77.7115,15223,Tamil Nadu,Tiruppur
Mulaikkaraippatti,8.54541,77.76792,11112,Tamil Nadu,Tirunelveli Kattabo
Mul,20.06987,79.67826,25449,Maharashtra,Chandrapur
Muktsar,30.47426,74.5166,116747,Punjab,Muktsar
Mukher,18.70636,77.36795,28647,Maharashtra,Nanded
Mukerian,31.95394,75.61716,29841,Punjab,Hoshiarpur
Muhammadabad,27.30895,79.43252,22151,Uttar Pradesh,Ferrukhabad
Muhammadabad,26.03404,83.38114,24146,Uttar Pradesh,Mau
Muhammadabad,25.61907,83.75576,33186,Uttar Pradesh,Ghazipur
Pandit Deen Dayal Upadhyaya Nagar,25.28307,83.11968,109650,Uttar Pradesh,Chandauli District
Mudukulathur,9.34169,78.51388,14789,Tamil Nadu,Ramanathapuram
Mudki,30.78005,74.88106,10415,Punjab,Firozpur
Mudkhed,19.15657,77.50304,23517,Maharashtra,Nanded
Mudgere,13.13353,75.6416,9677,Karnataka,Chikmagalur
Mudhol,16.33354,75.28305,52199,Karnataka,Bagalkot
Mudgal,16.01191,76.44203,22731,Karnataka,Raichur
Muddebihal,16.33782,76.13173,34217,Karnataka,Bijapur
Muddanuru,14.68718,78.39309,9775,Andhra Pradesh,YSR district
Mudbidri,13.06653,74.99525,30632,Karnataka,Dakshina Kannada
Mubarikpur,30.61464,76.85586,5217,Punjab,Ajitgarh
Mubarakpur,26.08866,83.29088,53263,Uttar Pradesh,Azamgarh
Mowad,21.46475,78.45103,9045,Maharashtra,Nagpur Division
Mothihari,26.64862,84.91656,126158,Bihar,Purba Champaran
Moth,25.72595,78.95029,14077,Uttar Pradesh,Jhansi
Morwa,22.90469,73.83912,20168,Gujarat,Panch Mahals
Morsi,21.3403,78.01258,37333,Maharashtra,Amravati Division
Morjim,15.63097,73.73903,6760,Goa,North Goa
Morena,26.49892,77.99534,200482,Madhya Pradesh,Morena
Morvi,22.81731,70.8377,210451,Gujarat,Morbi
Morar,26.2264,78.22482,48464,Madhya Pradesh,Gwalior
Moranha,27.18735,94.91557,7136,Assam,Dibrugarh
Moram,17.78812,76.47077,18371,Maharashtra,Osmanabad
Morak,24.7266,75.95576,9204,Rajasthan,Kota
Moradabad,28.83893,78.77684,721139,Uttar Pradesh,Moradabad
Mon,26.73583,95.05841,26328,Nagaland,Mon
Mokokchung,26.3248,94.51834,35913,Nagaland,Mokokchung
Mokameh,25.39662,85.9219,60678,Bihar,Patna
Moirang,24.4975,93.77791,19893,Manipur,Bishnupur
Mohpa,21.31012,78.82969,7140,Maharashtra,Nagpur Division
Mohiuddinnagar,25.57374,85.66944,14938,Bihar,Samastipur
Mohgaon,21.63941,78.73638,10446,Madhya Pradesh,Chhindwara
Mohanur,11.05936,78.13965,14315,Tamil Nadu,Namakkal
Mohanpur,28.25261,80.24498,5596,Uttar Pradesh,Shajahanpur
Mohana,19.44273,84.26128,5197,Odisha,Gajapati
Mohan,26.78008,80.67497,14709,Uttar Pradesh,District Unnao
Moga,30.81383,75.16878,163397,Punjab,Moga
Modasa,23.46253,73.29857,67648,Gujarat,Arvalli
Meethari Marwar,27.57615,74.68661,14760,Rajasthan,Nagaur District
Misrikh,27.43137,80.53157,15007,Uttar Pradesh,Sitapur
Mirzapur,25.1449,82.56534,220029,Uttar Pradesh,Mirzapur
Mirik,26.88817,88.19007,10109,West Bengal,Darjeeling
Miryalaguda,16.8722,79.56247,104918,Telangana,Nalgonda District
Mirganj,28.54012,79.20817,15335,Uttar Pradesh,Bareilly
Miranpur Katra,28.02963,79.66778,29626,Uttar Pradesh,Shajahanpur
Miranpur,29.29026,77.94939,27390,Uttar Pradesh,Muzaffarnagar
Minjur,13.27951,80.25815,28337,Tamil Nadu,Thiruvallur
Milak,28.61031,79.16997,28505,Uttar Pradesh,District Rampur
Mihona,26.28373,78.98048,16935,Madhya Pradesh,Bhind
Miao,27.49335,96.18118,5841,Arunachal Pradesh,Changlang
Mhow,22.5589,75.76543,81702,Madhya Pradesh,Indore
Mhaswad,17.63359,74.78773,24120,Maharashtra,Satara Division
Mhasla,18.1334,73.11162,9679,Maharashtra,Raigarh
Mettur,11.78796,77.8008,56743,Tamil Nadu,Salem
Mettupalayam,11.29971,76.93485,69213,Tamil Nadu,Coimbatore
Mettuppalaiyam,11.16806,78.44944,9587,Tamil Nadu,Tiruchirappalli
Merta,26.64859,74.03414,46070,Rajasthan,Nagaur District
Mennanyam,11.5579,75.75964,15768,Kerala,Kozhikode
Mendarda,21.32112,70.44078,17166,Gujarat,Junagadh
Memari,23.17647,88.09749,44448,West Bengal,Purba Bardhaman
Melur,10.03241,78.3393,40017,Tamil Nadu,Madurai
Mehsi,26.35574,85.09251,25995,Bihar,Purba Champaran
Mehndawal,26.97579,83.10995,25495,Uttar Pradesh,Sant Kabir Nagar
Mehnagar,25.87889,83.11611,14897,Uttar Pradesh,Azamgarh
Mehkar,20.1505,76.56841,45248,Maharashtra,Buldhana
Meghraj,23.49805,73.51352,11363,Gujarat,Arvalli
Meerut,28.98002,77.70636,1223184,Uttar Pradesh,Meerut
Medinipur,22.42114,87.32257,153349,West Bengal,Paschim Medinipur
Medchal,17.62972,78.48139,35611,Telangana,Medchal Malkajgiri
Medak,18.04531,78.26078,46880,Telangana,Medak
Mayiladuthurai,11.10354,79.655,86660,Tamil Nadu,Mayiladuthurai district
Mayapur,22.41667,88.11667,10871,West Bengal,Haora
Mayang Imphal,24.60998,93.88873,24239,Manipur,Imphal West
Mayakonda,14.28894,76.08305,6445,Karnataka,Davanagere
Mayabandar,12.90954,92.90348,23912,Andaman and Nicobar,North  & Middle Andaman
Mawana,29.10288,77.92199,76973,Uttar Pradesh,Meerut
Mavoor,11.26667,75.91667,29781,Kerala,Kozhikode
Maoli,24.78348,73.98389,9199,Rajasthan,Udaipur
Mavelikara,9.25929,76.55642,28300,Kerala,Alappuzha
Mauranwan,26.42876,80.88008,14916,Uttar Pradesh,District Unnao
Maur,30.08333,75.25,31849,Punjab,Bathinda
Mauda,21.14575,79.39794,14606,Maharashtra,Nagpur Division
Mauganj,24.66721,81.87339,26420,Madhya Pradesh,Rewa
Maudaha,25.68312,80.11419,37844,Uttar Pradesh,District Hamirpur
Mau Aimma,25.69515,81.92336,20123,Uttar Pradesh,Prayagraj
Mau,26.26584,78.67108,20147,Madhya Pradesh,Bhind
Mau,25.94167,83.56111,246050,Uttar Pradesh,Mau
Mattur,11.32147,79.20245,5605,Tamil Nadu,Ariyalur
Mattigiri,12.69795,77.80832,23129,Tamil Nadu,Krishnagiri
Mattanur,11.93018,75.57152,47078,Kerala,Kannur
Mathura,27.5035,77.67215,330511,Uttar Pradesh,Mathura
Matheran,18.98281,73.2652,5287,Maharashtra,Raigarh
Mataundh,25.43594,80.15653,8591,Uttar Pradesh,District Banda
Matabhanga,26.34197,89.21555,22642,West Bengal,Cooch Behar District
Masinigudi,11.56831,76.64087,9642,Tamil Nadu,Nilgiris
Mashat,20.24514,73.00841,12139,Dadra and Nagar Haveli and Daman and Diu,Dadra & Nagar Haveli
Masaurhi Buzurg,25.35417,85.03195,59803,Bihar,Patna
Marwad,20.43764,72.83224,7443,Dadra and Nagar Haveli and Daman and Diu,Daman District
Maro,21.86665,81.85888,6596,Chhattisgarh,Bemetara
Mormugao,15.38914,73.81491,102345,Goa,South Goa
Markapur,15.73534,79.26848,71092,Andhra Pradesh,Prakasam
Mariani,26.65725,94.31529,23640,Assam,Jorhat
Mariahu,25.60404,82.60379,22248,Uttar Pradesh,Jaunpur
Marhaura,25.97349,84.86796,29932,Bihar,Saran
Margherita,27.28482,95.66796,26914,Assam,Tinsukia
Marandahalli,12.38826,78.00316,12451,Tamil Nadu,Dharmapuri
Marakkanam,12.19214,79.94193,22034,Tamil Nadu,Villupuram
Marayur,10.27641,77.16205,25000,Kerala,Idukki
Marahra,27.7368,78.56891,18873,Uttar Pradesh,Etah District
Mapusa,15.59154,73.80898,40122,Goa,North Goa
Manwath,19.30133,76.49735,32488,Maharashtra,Parbhani
Manvi,15.99126,77.05034,46465,Karnataka,Raichur
Manthani,18.65087,79.66501,15661,Telangana,Peddapalli
Mansar,21.39602,79.2635,6901,Maharashtra,Nagpur Division
Mansa,29.98844,75.40167,82956,Punjab,Mansa
Mansa,23.42564,72.65739,30347,Gujarat,Gandhinagar
Manpur,22.43151,75.62107,7621,Madhya Pradesh,Indore
Manor,19.7244,72.90966,10421,Maharashtra,Palghar
Manohar Thana,24.24,76.80182,11292,Rajasthan,Jhalawar District
Manoharpur,27.29769,75.9495,28928,Rajasthan,Jaipur
Manoharpur,23.72154,91.21257,14105,Tripura,Sepahijala
Manoharpur,22.37456,85.19234,13189,Jharkhand,Pashchim Singhbhum
Mannargudi,10.66626,79.45064,66999,Tamil Nadu,Thiruvarur
Mannarakkat,10.99223,76.46418,50921,Kerala,Palakkad district
Manmad,20.25334,74.43755,80058,Maharashtra,Nashik Division
Mankuwa,23.20986,69.56758,11975,Gujarat,Kutch
Mankapur,27.05189,82.22961,9746,Uttar Pradesh,Gonda
Mankachar,25.53347,89.86373,31091,Meghalaya,
Majalgaon,19.15513,76.20992,49453,Maharashtra,Bid
Manjhanpur,25.53046,81.37566,16939,Uttar Pradesh,Kaushambi District
Manjeshvar,12.71287,74.88857,8927,Kerala,Kasaragod District
Manjeri,11.12018,76.11996,97102,Kerala,Malappuram
Manipal,13.35,74.78333,34370,Karnataka,Udupi
Mani Majra,30.71397,76.83824,15489,Haryana,
Manikpur,25.06083,81.09961,14415,Uttar Pradesh,Chitrakoot
Manihari,25.33891,87.61998,26629,Bihar,Katihar
Maniar,25.98546,84.17233,20462,Uttar Pradesh,Ballia
Mangvadi,18.43135,73.86002,7685,Maharashtra,Pune Division
Mangrul Pir,20.31379,77.34178,30983,Maharashtra,Washim
Mangrol,25.33061,76.50973,25073,Rajasthan,Baran
Mangrol,21.12268,70.11484,69779,Gujarat,Junagadh
Manglya,22.81461,75.92585,10393,Madhya Pradesh,Indore
Manglaur,29.79094,77.87836,46395,Uttarakhand,Haridwar
Mangawan,24.66754,81.54644,13700,Madhya Pradesh,Rewa
Mangalvedha,17.51046,75.44713,21824,Maharashtra,Solapur
Mangaluru,12.91723,74.85603,499487,Karnataka,Dakshina Kannada
Mangaldai,26.44212,92.03047,25989,Assam,Darrang
Mangalapadi,12.66868,74.91039,12790,Kerala,Kasaragod District
Mangalam,11.63684,79.28062,9278,Tamil Nadu,Cuddalore
Mangalam,9.76473,78.64037,11379,Tamil Nadu,Sivaganga
Mangalagiri,16.43083,80.56815,107197,Andhra Pradesh,Guntur
Maner,25.64602,84.87291,40068,Bihar,Patna
Mandya,12.5223,76.89746,137358,Karnataka,Mandya
Mandavla,25.42622,72.51904,6683,Rajasthan,Jalore
Mandvi,22.83282,69.35237,51376,Gujarat,Kutch
Mandvi,21.25526,73.30412,18669,Gujarat,Surat
Mandu,23.79459,85.46872,10223,Jharkhand,Ramgarh
Mandu,22.34125,75.4013,10657,Madhya Pradesh,Dhar
Mandsaur,24.07184,75.06986,141667,Madhya Pradesh,Mandsaur
Mandrem,15.65337,73.72272,8336,Goa,North Goa
Mandleshwar,22.17598,75.65995,12343,Madhya Pradesh,Khargone
Mandla,22.59879,80.37115,55133,Madhya Pradesh,Mandla
Mandi Dabwali,29.96633,74.70025,52873,Haryana,Sirsa
Mandi,31.71194,76.93273,28217,Himachal Pradesh,Mandi
Mandawar,29.48655,78.12732,21339,Uttar Pradesh,Bijnor
Mandawar,27.86374,76.54999,10979,Rajasthan,Alwar
Mandawa,28.05541,75.14834,23335,Rajasthan,Jhunjhunu District
Mandasa,18.8683,84.46296,9287,Andhra Pradesh,Srikakulam
Mandapeta,16.86254,81.92921,56063,Andhra Pradesh,Konaseema
Mandapam,9.27571,79.12362,18427,Tamil Nadu,Ramanathapuram
Mandalgarh,25.19407,75.07215,21569,Rajasthan,Bhilwara District
Mandal,25.44126,74.56979,23478,Rajasthan,Bhilwara District
Mandal,23.28865,71.91854,13345,Gujarat,Ahmadabad
Manda,19.56843,72.79722,7605,Maharashtra,Palghar
Mancherial,18.87074,79.42863,89935,Telangana,Mancherial
Manchar,19.00436,73.94346,18876,Maharashtra,Pune Division
Manawar,22.23566,75.08917,30393,Madhya Pradesh,Dhar
Manavalakurichi,8.14776,77.30552,10969,Tamil Nadu,Kanniyakumari
Manavadar,21.49813,70.13775,30850,Gujarat,Junagadh
Manasa,24.47764,75.14095,26551,Madhya Pradesh,Neemuch
Manapparai,10.60772,78.42582,40510,Tamil Nadu,Tiruchirappalli
Manamadurai,9.67318,78.47096,32257,Tamil Nadu,Sivaganga
Manalurpettai,12.00788,79.09184,8523,Tamil Nadu,Kallakurichi district
Manali,32.2574,77.17481,8096,Himachal Pradesh,Kulu
Manali,13.16667,80.26667,35248,Tamil Nadu,Chennai
Manethi,28.15824,76.38904,5070,Haryana,Rewari District
Mamit,23.92703,92.48968,7884,Mizoram,Mamit
Mahabalipuram,12.62091,80.19331,15172,Tamil Nadu,Chengalpattu district
Malvan,16.05981,73.4629,18858,Maharashtra,Sindhudurg
Malur,13.00322,77.93798,40050,Karnataka,Kolar
Malsisar,28.35365,75.29749,13719,Rajasthan,Jhunjhunu District
Malpura,26.2838,75.36458,36028,Rajasthan,Tonk
Malpur,23.36035,73.46595,6971,Gujarat,Arvalli
Malpe,13.34962,74.70394,23496,Karnataka,Udupi
Mallur,11.54424,78.14078,10524,Tamil Nadu,Salem
Mallasamudram,11.49333,78.03119,18820,Tamil Nadu,Namakkal
Mallapuram,11.98231,78.24796,12705,Tamil Nadu,Dharmapuri
Malkera,23.78213,86.28767,12591,Jharkhand,Dhanbad
Malkapur,20.88555,76.19932,67740,Maharashtra,Buldhana
Malkapur,16.91999,73.9347,13343,Maharashtra,Kolhapur
Malakanagiri,18.36428,81.888,31007,Odisha,Malkangiri
Maliya,23.09296,70.75885,15964,Gujarat,Morbi
Malihabad,26.92223,80.71078,16649,Uttar Pradesh,Lucknow District
Malhargarh,24.28286,74.99024,8332,Madhya Pradesh,Mandsaur
Malhar,21.89275,82.28322,8505,Chhattisgarh,Bilaspur
Maler Kotla,30.5309,75.87949,135424,Punjab,Malerkotla
Malegaon,20.54966,74.53462,481228,Maharashtra,Nashik Division
Malavalli,12.38556,77.06045,38129,Karnataka,Mandya
